mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label
-343.66315,100.98835,10.431006,38.132954,-5.567134,16.482687,-2.2854435,8.986542,5.012585,-3.5966816,13.882717,0.048516642,-4.116157,12.798527,-7.0487585,3.6051662,5.758082,-3.005257,-2.082607,1.567385,Agustus
-317.79498,95.55611,12.118033,36.092426,-2.8400912,17.899122,3.443646,10.327679,5.990013,-2.6223881,20.074726,-2.0763094,-3.0958283,11.1692915,-7.4955144,2.522108,7.354681,-5.968329,1.6408607,-1.3850075,Agustus
-324.01532,103.43004,6.487065,35.17461,-6.385631,13.614669,-0.70666134,10.195568,2.7548447,-3.0118685,17.352318,-4.1108613,-3.6385999,10.206605,-6.870655,5.073237,5.765359,-5.380039,0.12915519,-0.75718623,Agustus
-353.7078,89.5774,11.274801,32.89974,0.5140516,16.842356,-2.4491336,12.757101,5.7649674,-4.022889,13.317366,-1.8101217,-3.2492805,10.236824,-8.481208,1.7297239,3.6751032,-1.3947266,0.6086255,0.73001075,Agustus
-361.6617,92.372055,13.2933235,30.634542,2.4127295,18.750263,0.03562127,14.017319,4.72474,-1.1458968,13.227091,-0.9665965,-0.01733359,7.351021,-7.534578,3.1977825,4.7759757,-2.846183,2.7937317,1.0560422,Agustus
-349.7889,91.03309,14.609963,33.144974,-3.0246465,18.462334,-1.067425,12.35982,5.7029,-4.1719465,13.489134,-4.352672,-0.676551,8.913288,-9.417918,5.8630733,5.6958175,-3.8011656,5.3893385,-2.1823263,Agustus
-349.43768,99.9555,10.617689,34.7598,-2.8267324,14.1867075,-1.0414728,10.639418,5.19975,-5.1511397,13.834107,-3.7756636,-1.5719391,9.006658,-9.41544,-0.11142091,6.596932,-2.9076073,1.457226,-0.05068257,Agustus
-338.35345,97.498474,13.998049,37.22115,-3.9481127,14.938502,-0.38237897,8.791123,4.256083,-5.1211314,15.742729,-1.558036,-2.1307745,10.281713,-10.219511,3.9470694,5.6151495,-4.5023828,3.491571,-0.19802387,Agustus
-354.95868,97.55899,13.322516,34.072704,-1.8160421,18.904156,0.64547396,13.629916,7.604266,-4.8222456,13.371361,-0.5639757,-1.0116388,8.952118,-7.4396195,4.502923,6.108187,-2.9726586,3.1758983,0.6982895,Agustus
-360.9212,98.93482,14.787162,34.004772,0.7308228,19.45288,0.5209022,13.60499,7.813591,-2.8327866,12.078275,-0.2752212,0.14857475,8.544781,-7.0991764,4.4001827,4.6150756,-0.5731508,3.5298011,-0.19335309,Agustus
-346.46533,97.416275,14.521645,35.940857,-2.3476248,17.285578,-0.4148264,13.511333,9.065063,-4.947318,14.307478,-0.55938447,-2.4663396,10.518416,-7.462017,3.389967,7.473957,0.0621624,1.2950511,0.28052986,Agustus
-332.3824,102.686905,12.215528,36.06613,-5.120195,18.836016,-1.762396,10.518943,4.475782,-4.041486,20.045206,-2.5731893,-0.034914047,12.796172,-6.6959505,2.9229903,8.181843,-4.038138,4.218233,1.41361,Agustus
-356.12332,96.52781,16.06076,35.115944,-3.0768743,20.004763,-0.6083546,16.000753,6.35806,-3.845808,13.575206,-0.13818383,-0.38864255,9.277921,-5.8475614,5.1795287,7.3320274,-1.0628003,6.082418,-0.44595823,Agustus
-356.2848,104.85768,9.751837,32.79499,-2.5416594,18.40125,1.645875,13.233631,5.2665887,-1.7772377,12.182361,0.28779787,0.21457374,9.498613,-6.019526,5.140133,5.2392535,-2.4124665,4.8514843,-0.6269141,Agustus
-353.6445,99.57723,8.479538,33.50863,-6.418724,19.185768,-0.8377205,7.1744814,7.759743,-3.7524974,13.19238,0.43393475,-3.684797,9.444818,-5.4792466,1.2774589,6.654991,-3.2045634,2.149775,1.2346478,Agustus
-346.11438,99.869606,10.270724,36.008434,-5.7530694,18.151274,4.904402,11.975782,1.80866,0.8537458,13.803764,0.13117716,-3.1464727,8.0583315,-4.5167093,5.7225857,4.372016,-1.2055082,6.3464413,-1.5544549,Agustus
-346.89978,98.10949,10.589108,36.09714,-2.6310277,18.424448,1.0290351,12.1595,7.730643,-3.6607537,12.936417,0.022690129,-2.1574442,9.57151,-4.576934,1.2009494,8.024081,-2.3656619,-0.08507227,0.76872694,Agustus
-352.40366,98.959435,12.434156,38.12391,-1.7490257,21.34299,2.6454482,16.533436,8.973757,-0.96744746,15.654074,-0.34439346,0.07212684,9.487749,-4.590917,3.7606683,7.471048,-2.5710082,4.0636606,-0.38993716,Agustus
-354.3929,99.35366,7.9728203,32.480854,-3.2428591,17.413158,2.754985,7.8098297,9.390815,-6.350435,13.786316,-1.7775198,-6.4755316,7.980516,-6.5535183,1.2299823,6.572526,-2.3695192,2.8498886,1.6792537,Agustus
-339.88153,94.11285,11.489004,31.989323,-3.9389434,21.255173,-0.19939893,8.670634,6.57928,-3.8193288,15.952028,-0.6248985,-2.0674803,10.659869,-6.3696165,3.26505,7.5564513,-3.262029,3.4683745,0.2304484,Agustus
-357.41867,97.91402,13.986934,35.200073,2.2979867,19.718603,4.0726266,14.077607,9.172631,-2.0006053,14.873474,-1.0874897,-1.6543598,9.790869,-4.930425,3.9946911,6.2171736,-1.8495975,5.4027476,1.9899496,Agustus
-330.12076,94.60717,7.2153187,38.74168,-6.8200045,18.752337,1.4994586,7.3580575,6.131002,-4.376823,17.250843,-2.827318,-4.540308,11.281885,-7.3647065,1.6737586,5.9095955,-3.6082003,4.04148,-0.23980391,Agustus
-340.68326,101.32661,11.995634,34.18755,-7.508051,19.02177,0.10776131,9.883483,2.52661,-2.039496,16.571497,-1.9965225,0.5761323,11.610318,-6.9411454,7.0550747,3.8795314,-3.6920328,3.9827747,-3.8021953,Agustus
-343.05426,94.92666,10.091306,35.310856,-2.9132557,19.252031,3.7824342,10.022165,10.220162,-4.4848027,13.6455965,2.3950179,-4.981497,14.018628,-7.3624654,2.2554102,8.601853,-2.0441906,0.38872093,4.701378,Agustus
-342.4131,100.54042,3.6830053,36.844482,-5.9880657,17.608599,3.6730206,10.346283,5.174822,-0.14606526,11.627195,-0.98502505,-3.2283614,10.151955,-6.214864,4.446255,3.9816763,-2.0381107,4.7923055,-1.7795379,Agustus
-333.99637,93.56717,7.8083305,37.096085,-6.1221952,16.352215,1.375543,7.5516276,8.100239,-3.0926564,17.381088,-2.5667422,-2.929688,13.064165,-7.358149,2.9047089,8.912635,-6.1018085,5.129367,-0.79416734,Agustus
-338.56482,103.10427,9.247423,34.876434,-1.9797729,17.926016,2.359066,8.5187,10.815226,-7.549626,13.720438,-1.1661811,-5.422381,13.039231,-4.359055,2.2087429,7.116717,-3.015045,1.2030171,0.45020294,Agustus
-340.96283,99.73368,11.346627,38.47926,-3.887419,20.791801,4.424573,9.055371,10.060562,-3.843479,19.751467,1.905356,-3.9438188,12.394546,-4.43218,5.250363,7.332266,-4.4154058,1.5246967,1.3799396,Agustus
-341.5773,102.53964,8.641287,40.07956,-5.0167875,18.77832,3.266628,7.010551,7.881626,-1.5653331,15.437968,-1.132326,-6.4150777,11.610277,-5.210669,3.081873,8.376269,-5.066242,1.9984133,2.402327,Agustus
-343.005,91.86359,11.681393,37.11054,-5.5110884,21.253586,0.93659455,9.237276,6.924983,-2.5452497,13.580764,0.9268832,-4.0136986,11.576836,-6.5873446,6.2328053,8.062163,-5.1738496,2.351666,-0.8242383,Agustus
-335.8498,103.51397,16.495255,35.808823,-2.904952,20.700674,1.6848098,8.277123,5.313456,-4.1127634,13.166491,1.4693063,-1.4878294,11.217778,-5.5480213,2.887889,5.734345,-3.2122488,2.0073361,1.4610022,Agustus
-348.98917,99.46523,12.853153,34.385174,-5.9014745,17.290308,0.20620419,9.773986,5.9828033,-1.9087095,13.913891,-1.7322751,-3.4243884,10.41915,-7.8153896,2.3431134,4.8159585,-6.177979,3.1771286,-1.3357877,Agustus
-330.6066,109.719406,2.6897237,35.396606,-7.327795,15.091793,-4.744133,6.829905,2.4864936,-3.6402526,15.4058075,-2.814086,-5.7806997,13.544272,-5.942954,1.3530099,4.493434,-3.8538852,-1.9656619,-0.029506134,Agustus
-339.32205,99.781136,11.16198,31.991777,-6.1022296,18.397648,0.8332951,11.513377,3.6890087,-6.8861485,16.020794,-5.1521487,-2.3543413,9.486796,-9.070362,3.7385287,4.3347282,-2.9796412,3.6660752,-1.323228,Agustus
-350.5331,100.359024,7.3444667,37.313854,-2.1025147,16.967955,0.7201341,10.485521,6.119993,-2.103354,14.924229,-1.3476806,-2.182617,11.598416,-5.306124,0.715279,4.9862137,-3.119966,1.9449632,0.38724172,Agustus
-340.2653,97.85751,10.319592,34.893787,-7.809163,15.453706,-1.4318155,11.180783,4.1758,-3.218908,17.911705,-3.0068,-2.5190408,12.061211,-8.587221,3.3858364,5.044065,-5.1635203,4.2139497,-2.7459128,Agustus
-346.3204,92.92037,9.587085,33.292248,-5.8241553,20.858673,-0.55375934,11.824823,9.0758505,-2.778565,13.113781,0.98475444,-3.0982804,10.764147,-5.9118686,4.1549435,5.817797,-2.9519742,0.706233,1.348957,Agustus
-333.14117,98.78288,8.237772,39.7988,-3.8414235,15.866967,-2.0580044,9.115649,6.3302383,-6.4790597,16.412191,-3.078723,-5.963447,12.66308,-7.383967,1.5147187,7.0668354,-3.994374,0.16264236,-0.1939616,Agustus
-346.4484,96.586754,15.363951,38.84228,-0.6602914,24.435402,0.5453963,13.368338,10.095945,-4.1739197,17.040838,-0.33069882,-2.9089699,10.490611,-6.184803,2.017088,5.542213,-2.8253884,5.1278353,-0.9717391,Agustus
-330.93445,114.60883,11.129017,45.01395,3.3681004,19.626001,3.774483,12.025162,8.80597,-0.08614452,16.681269,-0.7730255,-4.1222253,10.169915,-3.3235366,1.7837154,4.975873,-3.840531,0.60346437,-1.5646843,Agustus
-332.5803,105.63325,11.813685,39.80914,-0.93639594,21.386374,1.6521627,11.668589,8.350273,-1.1559569,12.910218,-2.448421,-2.3331642,10.4653225,-7.1304975,3.1751187,3.538471,-4.896627,1.4711797,-2.0136573,Agustus
-340.18243,110.53185,8.875357,40.870403,-4.291691,16.049433,-0.1020287,9.49315,6.93779,-1.6174875,13.21576,-2.1222777,-3.7614927,8.806973,-8.303142,2.6077871,1.8891847,-6.249394,2.3625276,-2.544019,Agustus
-338.5995,111.99146,12.222466,38.498775,-5.996716,16.147738,-0.009041161,8.247436,7.52835,-5.2707667,13.444949,-3.6408098,-3.7883973,10.774597,-9.083793,3.2553844,5.103586,-5.9253707,1.976563,-1.6375151,Agustus
-339.92474,108.000435,8.548121,37.836216,-3.472228,17.281569,1.8379772,6.1324096,4.517821,-4.5994315,10.824499,-0.6457346,-3.104161,11.722213,-5.8985305,4.0355115,7.3001556,-5.5719957,0.38370845,-0.3004193,Agustus
-339.0865,97.33198,12.120344,31.522484,-4.276318,19.10728,0.9327852,12.99108,8.195246,-2.0474641,14.537653,-1.2123305,-2.9503486,9.173457,-7.6333323,4.356219,5.7949805,-4.2862034,1.4752,0.09645912,Agustus
-338.1067,102.05449,8.315701,40.259018,-6.4108534,17.446825,2.6429513,8.847342,5.851704,-1.430658,16.9722,-1.5915118,-2.8335042,11.23195,-8.135034,3.9374464,4.864808,-3.655935,1.6752443,0.75972784,Agustus
