mfcc_awal_mean_0,mfcc_awal_std_0,mfcc_awal_mean_1,mfcc_awal_std_1,mfcc_awal_mean_2,mfcc_awal_std_2,mfcc_awal_mean_3,mfcc_awal_std_3,mfcc_awal_mean_4,mfcc_awal_std_4,mfcc_awal_mean_5,mfcc_awal_std_5,mfcc_awal_mean_6,mfcc_awal_std_6,mfcc_awal_mean_7,mfcc_awal_std_7,mfcc_awal_mean_8,mfcc_awal_std_8,mfcc_awal_mean_9,mfcc_awal_std_9,mfcc_awal_mean_10,mfcc_awal_std_10,mfcc_awal_mean_11,mfcc_awal_std_11,mfcc_awal_mean_12,mfcc_awal_std_12,mfcc_awal_mean_13,mfcc_awal_std_13,mfcc_awal_mean_14,mfcc_awal_std_14,mfcc_awal_mean_15,mfcc_awal_std_15,mfcc_awal_mean_16,mfcc_awal_std_16,mfcc_awal_mean_17,mfcc_awal_std_17,mfcc_awal_mean_18,mfcc_awal_std_18,mfcc_awal_mean_19,mfcc_awal_std_19,mfcc_tengah_mean_0,mfcc_tengah_std_0,mfcc_tengah_mean_1,mfcc_tengah_std_1,mfcc_tengah_mean_2,mfcc_tengah_std_2,mfcc_tengah_mean_3,mfcc_tengah_std_3,mfcc_tengah_mean_4,mfcc_tengah_std_4,mfcc_tengah_mean_5,mfcc_tengah_std_5,mfcc_tengah_mean_6,mfcc_tengah_std_6,mfcc_tengah_mean_7,mfcc_tengah_std_7,mfcc_tengah_mean_8,mfcc_tengah_std_8,mfcc_tengah_mean_9,mfcc_tengah_std_9,mfcc_tengah_mean_10,mfcc_tengah_std_10,mfcc_tengah_mean_11,mfcc_tengah_std_11,mfcc_tengah_mean_12,mfcc_tengah_std_12,mfcc_tengah_mean_13,mfcc_tengah_std_13,mfcc_tengah_mean_14,mfcc_tengah_std_14,mfcc_tengah_mean_15,mfcc_tengah_std_15,mfcc_tengah_mean_16,mfcc_tengah_std_16,mfcc_tengah_mean_17,mfcc_tengah_std_17,mfcc_tengah_mean_18,mfcc_tengah_std_18,mfcc_tengah_mean_19,mfcc_tengah_std_19,mfcc_akhir_mean_0,mfcc_akhir_std_0,mfcc_akhir_mean_1,mfcc_akhir_std_1,mfcc_akhir_mean_2,mfcc_akhir_std_2,mfcc_akhir_mean_3,mfcc_akhir_std_3,mfcc_akhir_mean_4,mfcc_akhir_std_4,mfcc_akhir_mean_5,mfcc_akhir_std_5,mfcc_akhir_mean_6,mfcc_akhir_std_6,mfcc_akhir_mean_7,mfcc_akhir_std_7,mfcc_akhir_mean_8,mfcc_akhir_std_8,mfcc_akhir_mean_9,mfcc_akhir_std_9,mfcc_akhir_mean_10,mfcc_akhir_std_10,mfcc_akhir_mean_11,mfcc_akhir_std_11,mfcc_akhir_mean_12,mfcc_akhir_std_12,mfcc_akhir_mean_13,mfcc_akhir_std_13,mfcc_akhir_mean_14,mfcc_akhir_std_14,mfcc_akhir_mean_15,mfcc_akhir_std_15,mfcc_akhir_mean_16,mfcc_akhir_std_16,mfcc_akhir_mean_17,mfcc_akhir_std_17,mfcc_akhir_mean_18,mfcc_akhir_std_18,mfcc_akhir_mean_19,mfcc_akhir_std_19,zcr_mean,zcr_std,rms_mean,rms_std,label_bulan
-101.098595,56.740738,133.43558,12.469339,-7.5923553,13.707764,34.117653,9.890968,-15.401535,16.99569,9.313096,3.79379,3.9746704,8.935498,10.73169,7.70971,9.523436,7.988112,9.229001,10.211404,17.333015,12.655787,1.0456388,4.2949343,-7.145458,5.4861293,6.1667514,8.447277,-6.25888,1.9651011,4.270689,2.8664463,5.4273515,2.653606,-2.9491658,4.741359,-1.4306444,3.155704,1.7565749,2.9893878,-101.33177,27.885519,88.560265,33.85761,24.805899,11.609268,40.562843,14.07703,-0.06260469,6.369941,21.655651,6.8204074,-1.8932966,7.982548,8.293628,9.886938,5.781531,11.513505,-10.553469,6.8905473,9.145177,4.258075,0.76884127,3.8100145,-2.6907802,4.363537,14.29756,7.3512664,-11.259202,3.3426936,2.971004,3.9491458,4.3823857,4.732185,-4.4314046,3.0069969,-1.2565693,2.5956655,0.6854011,3.0678892,-61.43689,28.80637,82.32134,48.50548,13.208903,23.86558,40.456726,17.01073,-2.8682237,8.27729,18.312305,7.111,-9.223463,5.505069,7.1354284,14.254797,0.33371753,10.656667,-9.205653,4.1743994,16.362774,4.9807167,-2.1474376,3.9402785,-3.2195687,5.660313,18.764805,9.377741,-4.064908,3.89692,3.6482577,0.71757287,7.3169556,1.8571174,-3.2679381,5.1447062,-3.814001,3.044989,1.4239434,2.6383648,0.10545247395833333,0.07065217469625426,0.17589165,0.08062178,Agustus
-69.82512,43.349327,133.7352,7.9320717,-12.3816,24.76103,40.7374,11.457061,-18.336157,17.330297,14.470541,6.086108,3.8374083,5.9557376,5.4435906,7.161041,8.10304,9.313076,7.008539,19.518534,25.09153,9.513728,-6.4232864,7.9005795,-5.4416385,4.06609,10.4336605,5.1854587,-7.5610213,2.268637,1.1293275,3.8152251,5.790055,3.2975132,-6.077987,5.51514,1.1099564,4.8991914,1.4868728,4.0886545,-91.524895,48.65502,101.41236,39.6088,15.627357,23.118082,41.000576,8.554163,5.228239,9.564178,15.0981865,12.783198,1.0629405,7.489616,5.972243,15.364505,-0.75445294,12.815601,-8.714048,6.1385474,16.620834,8.408474,-1.5429271,5.2489166,-1.3291634,4.699078,16.354109,9.078859,-5.8385286,3.8475993,2.6282308,2.808974,7.403279,4.237807,-4.5172315,4.425648,-1.5862538,5.250778,-2.3292506,2.7973464,-99.13439,21.93648,51.52075,27.155708,33.108337,9.128092,26.539299,3.0619602,4.5876455,2.5223646,24.12864,8.965369,5.4305873,8.574994,19.567204,11.216785,10.621449,7.869669,-6.161652,2.1776435,18.511808,1.9873394,1.7372836,3.6612642,-2.516682,3.337257,6.7201023,6.7846017,-9.086994,2.3299277,3.8087626,2.7659454,8.870708,4.2630014,-7.309766,1.8366103,5.398882,3.7524028,-3.3126457,5.482668,0.09554036458333333,0.054300055955733506,0.17640679,0.07930763,Agustus
-81.832855,72.6252,130.8251,10.690924,-24.053164,19.38799,32.286194,10.648774,-21.961573,19.758097,10.787081,5.572149,1.2710607,7.0808682,14.615352,8.501202,6.625384,5.3957286,12.63591,7.633632,18.564182,10.746233,-6.7565026,8.713882,-7.2680726,3.3683646,5.7556405,5.719739,-6.2118397,4.55396,4.690955,3.6821868,1.9403375,3.8154323,-6.8030806,5.9182444,-1.0375757,2.696043,0.23492102,2.393959,-108.65297,30.743319,95.71086,29.644464,24.649574,12.30674,44.088226,8.340998,4.4471807,9.71319,16.363562,8.493907,-0.28083342,11.72191,8.46602,9.70897,1.9366643,9.525262,-12.309225,5.909789,13.7149935,6.0920453,-0.578297,4.6343555,-3.1120658,3.1120489,12.891996,9.273944,-8.096172,2.6703198,3.7552724,3.3708344,5.916936,3.2785513,-3.8006196,4.593834,0.12008091,3.990417,-0.9706294,2.3588974,-92.189705,29.956846,83.18774,51.093483,18.49805,21.035728,28.070887,11.326694,-2.411202,5.245764,14.245004,12.357135,-2.5200841,10.015012,8.572073,11.6059475,0.14244443,14.890436,-9.862504,3.8132913,20.121208,8.989632,-4.8684087,2.833028,-1.3429555,3.6519747,12.085623,7.8719983,-6.0107574,3.4191923,5.789223,2.7396803,8.574241,3.6461105,-5.8426976,3.0765877,1.5409878,7.9358425,-2.1993637,3.0275064,0.09601814516129033,0.0586424985682039,0.16049677,0.079417124,Agustus
-93.82752,64.12343,131.72498,15.254348,-9.763116,16.498064,34.6039,5.6691513,-6.6900516,15.944871,9.67838,5.0274196,-2.28983,12.713297,10.785484,7.2603755,6.0719,6.628872,7.4803567,8.7198305,15.084931,11.949058,-2.2516258,10.907436,-6.605797,8.723348,5.002237,5.179677,-8.503724,2.2759392,-0.8667235,3.777725,-2.05673,2.347235,-2.1975605,3.5707872,-0.57474506,1.8275318,-1.1489486,2.3178334,-83.89315,26.877117,93.402504,45.089264,19.858994,10.745102,39.143917,14.6602,4.5979023,5.4886413,19.558079,8.827489,-4.471823,7.014481,8.374531,11.499664,1.6107126,7.4147243,-11.145902,6.1758914,9.355363,5.1174526,-1.8126646,3.0968633,-4.968636,7.6941676,17.968912,8.828578,-7.8941364,2.4559815,2.1252553,5.519143,6.097448,3.4211147,1.2817962,2.837468,-1.8789202,3.8967295,2.7076597,5.2469907,-88.69503,27.678007,42.666782,29.914106,25.21623,9.193041,25.130081,6.399124,3.6161525,2.6249058,21.002253,6.1360736,-2.3811965,6.9795647,19.35983,8.989523,9.778803,5.0938153,-9.39926,4.1017823,16.093863,3.8618078,-1.5993482,4.168094,2.5827777,3.1258497,8.9326105,7.200498,-9.304467,2.778329,3.7700012,2.703908,7.184405,4.077689,-3.7073917,2.533385,4.040776,3.116306,1.0030893,2.7278347,0.1279839409722222,0.09960025107475824,0.17546095,0.09864307,Agustus
-144.53015,67.85336,116.378296,17.509333,-5.3766394,5.2594013,27.911709,5.6390066,-2.485397,19.360622,16.45187,5.2016635,0.9244165,13.482798,14.784916,4.571735,10.109577,3.367062,7.5589094,4.2054844,9.357172,12.693347,1.8374068,9.013058,-1.060084,3.8627667,1.6142439,3.4297757,-8.379084,5.770476,3.0402362,2.1565678,2.3586893,2.5210533,-2.2972455,7.5157676,2.5019488,2.8960197,2.3599327,3.9720442,-115.018715,33.77528,99.3846,40.629486,21.157133,12.251246,35.405037,11.471953,5.6436234,7.3931265,20.236671,6.7957172,0.76800877,9.424251,11.268682,9.706383,2.3490713,8.424516,-9.226286,7.8021555,11.981378,7.807875,-0.17669207,5.1811376,-1.0877607,4.749966,9.243964,5.7541018,-8.805015,3.194644,2.057301,3.6802459,5.5274224,4.6251154,-2.0101821,5.0011077,1.6244433,3.3453553,0.6755416,2.8051493,-103.63594,31.351284,64.80536,46.32796,22.96589,13.975263,29.120731,12.445365,3.7418792,4.876159,19.369123,8.183131,-1.8734406,7.650116,15.657748,13.439938,2.001043,10.069433,-1.8341054,4.629656,18.037039,3.888937,-4.137171,2.8803596,1.9888393,4.7104645,10.5234,10.908771,-5.911887,2.9492493,4.209224,2.2375054,6.1217966,2.8129225,-4.088177,3.4708922,4.3162937,4.376236,0.11919764,2.7113204,0.10007383765243902,0.07891851733534844,0.13694836,0.08683667,Agustus
-101.7392,68.805885,129.55681,14.72804,-7.779915,11.935259,31.754196,7.319525,-10.949359,18.4742,13.179725,5.296916,0.60031885,11.847061,13.806773,9.55869,8.693837,9.087803,10.145863,9.054615,14.502622,12.348503,-6.249784,8.680163,-1.0556986,2.386231,5.843826,5.76059,-9.855041,5.5209713,4.3080688,3.7726095,2.296983,4.6441584,-2.5333157,6.4135437,2.9475915,2.9649844,-1.1999886,3.0104206,-104.43174,30.788546,93.401245,40.149998,21.64399,13.208145,39.68257,13.639447,2.235108,4.992898,16.93862,4.2915897,-2.8134062,6.4620905,5.4118333,8.640572,-0.1441149,9.621371,-13.219265,5.877659,9.972486,5.1275973,-3.827873,3.0135784,-2.3937852,2.9954576,10.73938,6.5833025,-11.146175,3.09487,4.4176135,3.8993099,7.877871,3.7993944,-2.219752,5.0210423,3.3648224,4.699161,-0.68000627,2.2700765,-90.191505,20.109556,48.760067,37.729492,30.58465,8.071269,27.929718,6.9357347,-0.7704646,4.0765924,25.64897,5.5513725,-1.5093769,9.372018,18.195269,13.116691,8.769931,8.255335,-9.747756,3.0881867,16.578505,3.18592,-3.1367028,4.9753437,1.3544067,2.0370352,10.17001,8.526863,-7.2564178,4.420886,9.012567,3.1738598,6.839615,2.657773,-6.9336514,3.4809842,10.104785,3.2025447,-4.7423425,3.084234,0.12013075086805555,0.09547084628536089,0.16477291,0.09003611,Agustus
-126.732796,73.32728,124.657936,14.19709,-11.030506,11.994882,29.910076,2.8744724,-6.6897554,18.485455,11.39901,7.3260674,4.7953258,10.473778,15.915598,4.323398,11.763525,3.3747997,12.540744,3.8885567,12.855777,9.808895,-1.3945928,11.033156,-1.2360654,5.87477,1.0560596,4.153,-7.6280317,4.398839,0.99873406,5.9569144,4.162258,2.8275652,-0.026824128,6.804202,2.2552824,2.6127017,3.3726249,3.6341274,-105.8305,33.800964,101.52487,38.99241,19.610878,15.781129,41.220932,9.696581,0.12550315,6.6123476,17.387547,9.758059,-0.58035666,8.654837,7.9717374,8.714861,2.9830735,8.142425,-12.978574,10.204531,13.159385,9.048248,-4.04699,4.8631115,-5.0879827,4.5480924,10.940751,5.6359143,-12.568213,1.6737695,-3.3853974,3.007515,5.2419505,8.635393,-2.8771853,5.249768,1.5029832,5.0994115,0.11839139,2.290115,-93.68217,29.511751,76.38661,51.873302,21.898357,13.5456915,33.243027,9.995165,-2.3326452,4.910369,13.96085,10.305552,-6.479768,4.507047,8.538662,13.070241,1.7005732,10.026866,-13.792053,4.460707,15.097734,5.045717,-5.745975,4.8445983,0.92326075,3.3863163,14.000332,9.109148,-8.354273,3.4098487,1.6665949,2.3433414,10.016428,4.066308,-5.638056,2.054661,0.7199201,4.3201814,-3.16058,3.5130866,0.10680803571428571,0.09536802602254188,0.16520754,0.08944812,Agustus
-99.52299,75.50494,133.02007,16.484232,-5.834494,12.0885,29.635174,5.25987,-16.400799,18.604015,8.755756,5.276916,2.6059058,7.617086,9.5433235,8.023119,9.779129,9.531153,9.8220005,8.00438,17.759186,10.271302,-5.1371126,10.410009,-1.8103771,3.8565962,5.582931,4.7174077,-10.015856,5.654203,3.2148051,3.6453147,2.2139227,2.1300666,-3.190731,5.9894123,3.869199,2.3290522,1.5656353,2.4563117,-107.689186,28.091457,90.300964,40.050945,27.633703,9.941428,44.460518,11.623195,4.39935,2.5389478,21.15627,5.406777,4.1972485,3.8068826,7.959517,7.751868,5.398164,12.535103,-14.342461,8.083714,7.9033675,3.8480878,0.7806477,4.4200144,-5.059188,4.333276,10.1330385,8.710689,-13.450473,2.2958632,3.2252338,2.4199584,6.5963144,6.276976,-4.819105,3.4196594,3.2140357,4.093535,1.5923151,4.1957355,-70.45926,28.350489,71.74932,61.578045,19.631584,16.694038,37.53625,9.284785,-0.21609913,3.5296423,14.906662,9.874332,-7.2622957,7.111825,8.863309,15.01243,-1.8031245,13.416475,-10.322772,3.5627322,21.036278,5.2568517,-0.43040463,3.7393596,0.24014778,3.9172,14.688492,6.6925178,-7.4674134,4.607583,5.268979,1.8526926,7.815209,3.4431772,-5.406863,4.0929255,3.4005778,6.1273193,-3.428933,4.572574,0.11791204637096774,0.11043578229273014,0.18509336,0.08427316,Agustus
-136.78296,69.40006,122.93557,20.14737,-8.979484,8.648562,27.065222,4.2031174,-10.815985,22.57572,10.248046,6.50055,4.7929683,9.392629,15.712185,3.0774333,9.047672,4.54856,7.7611356,5.7635946,14.232181,15.318522,-2.537795,8.40715,-2.8199637,4.583497,2.7169166,6.61969,-8.833771,4.7608037,3.7733557,2.5907357,4.2866316,3.1381443,-0.4566112,4.62945,1.6778508,3.6802878,3.2754552,3.3526285,-119.15533,25.349037,100.22847,41.78082,24.347132,9.68967,41.79314,9.815516,4.6970196,6.6686625,20.71116,7.659576,0.50330836,7.6093044,10.6827,8.724191,5.5080633,10.564009,-10.19583,6.158224,11.2487955,7.6970644,0.5866758,3.0681386,-1.46463,5.4951315,11.257183,5.5657296,-6.581035,3.0351758,6.2633243,2.6219902,7.3508363,6.351008,-2.437398,2.5780218,1.6019032,4.0486817,0.72323376,1.4414494,-108.94344,22.749506,71.65239,51.41895,24.833529,11.876027,33.556015,10.78953,-1.1982371,4.435879,24.28317,10.267342,-4.0681634,8.355446,14.058679,13.7426815,8.728278,9.839083,-11.246085,4.8747983,14.864646,4.7733765,-0.62993276,4.535584,1.6370629,2.8079026,13.604127,7.1600356,-6.6885533,5.4786797,3.4430602,2.446494,6.540181,1.3887122,-6.8304853,3.328412,5.352393,4.7550683,-1.2448545,4.4513364,0.10147879464285714,0.08647179793798686,0.14080861,0.07844408,Agustus
-137.84505,66.86784,131.97673,17.704784,0.86523294,11.116091,33.829243,7.2126503,-3.2761202,18.90444,12.960795,10.050428,2.897151,8.883627,14.46197,5.7123904,8.909202,5.96553,7.7741857,8.400706,13.784019,13.583228,-0.73233396,6.1213126,-1.8233371,5.25749,6.1531444,6.1774807,-5.8928947,4.450485,4.3335896,2.9157488,2.209407,5.4005046,0.21470444,5.1667957,2.7127717,1.3140146,1.0225872,3.3330672,-120.22608,25.250484,103.13906,43.20209,22.392004,12.846194,38.85017,11.353919,3.1624086,4.2326717,19.874502,11.854926,-3.800689,8.241151,6.1509337,10.644789,0.88817245,8.986626,-11.868141,5.783516,12.07931,3.832084,-1.3901935,2.4791152,1.2494713,4.7654996,13.871575,7.7893143,-4.504263,3.9934287,6.455707,2.8999417,5.794727,2.9879026,-1.5459872,5.0322084,2.3578131,6.6679025,-0.92906195,3.895277,-136.8835,48.65356,64.553764,37.677887,20.618324,19.033892,29.694126,6.651521,2.1849976,7.1638384,25.05638,4.7085605,2.316604,8.664344,19.694601,5.913485,13.194956,5.5157337,-4.2835093,9.444245,10.502783,6.9259014,1.1759351,3.8396437,0.9525881,2.7726293,5.8354077,8.26744,-10.60797,2.460983,2.5642462,1.191834,5.7467837,4.1491356,-0.40240067,5.1119013,5.3658166,2.8367732,-0.6366428,4.28909,0.0892894847972973,0.07326507262841352,0.12921861,0.069068864,Agustus
